BAMBE 20*,Container,," 270000 "," 37000 "
BEJI 20*,Container,CGB," 485000 "," 43000 "
BENOWO 20*,Container,," 270000 "," 40000 "
BETRO GEDANGAN 20*,Container,JCG," 300000 "," 40000 "
BETRO GEDANGAN 40*,Container,JCG," 390000 "," 50000 "
BLG.BENDO 20*,Container,," 405000 "," 50000 "
BLITAR 20*,Container,SMB," 1,400000 ", - 
BONDOWOSO 40*,Container,," 2,200000 ", - 
BUDURAN 20*,Container,JCB," 295000 "," 40000 "
BUDURAN 40*,Container,JCB," 385000 "," 50000 "
BUNTARAN 40*,Container,," 285000 "," 69000 "
BYPAS KRIAN 20*,Container,CIK," 340000 "," 46000 "
CARGIL DUPAK 20*,Container,DPK," 200000 "," 40000 "
CASALAND 20*,Container,CSL," 345000 "," 46000 "
CASALAND 40*,Container,CSL," 465000 "," 75000 "
CEPU 20*,Container,SGB," 1,450000 ", - 
CJ.JOMBANG 20*,Container,CFJ," 525000 "," 52000 "
CJ.PASURUAN 20*,Container,CJP," 585000 "," 56000 "
CPI KRIAN 20*,Container,CIK," 345000 "," 46000 "
CPI KRIAN 40*,Container,CIK," 440000 "," 72000 "
CPI SPJ 20*,Container,CIS," 300000 "," 40000 "
CPI SPJ 40*,Container,CIS," 390000 "," 50000 "
CPIK 20*,Container,CIS," 241000 "," 45000 "
CPIK RIT 20*,Container,CIK," 150000 ", - 
CPIK+CPIS 20*,Container,CIS," 345000 "," 46000 "
CPIK-TRSBO 20*,Container,SPT," 340000 "," 46000 "
CPIS-JUANDA 20*,Container,," 390000 ", - 
CPP M MULYO 20*,Container,CPM," 225000 "," 50000 "
CPP SPJ 20*,Container,CPS," 300000 "," 40000 "
CPP SPJ 40*,Container,CPS," 390000 "," 50000 "
DANAKARYA 20*,Container,," 225000 "," 50000 "
DAWAR BLANDONG 40*,Container,," 850000 ", - 
DEMAK JATENG 20*,Container,," 2000000 ", - 
DEPO MRTS FULL 20*,Container,," 125000 ", - 
DEPO MRTS-MMULYO,Container,," 50000 ", - 
DMC 20*,Container,DMP," 480000 "," 43000 "
DMC 40*,Container,DMP," 570000 "," 65000 "
DRIYOREJO 20*,Container,," 213000 "," 35000 "
DRIYOREJO 20*,Container,," 345000 "," 46000 "
DROP ICT-TB 40*,Container,," 100000 ", - 
DROP KARANTINA 20*,Container,," 85000 ", - 
DROP KARANTINA 40*,Container,," 85000 ", - 
DROP OSO W 40*,Container,," 225000 ", - 
DUPAK 20*,Container,DPK," 228000 "," 50000 "
DUPAK 40*,Container,DPK," 265000 "," 58000 "
DUPAK MT K.ANAK 20*,Container,DPK," 203000 "," 40000 "
FUGUI MYR 20*,Container,FUG," 377000 "," 40000 "
FULL DROP K.ANAK 20*,Container,," 155000 ", - 
GD.ABBA 20*,Container,ABS," 295000 "," 40000 "
GD.ABBA 40*,Container,ABS," 385000 "," 50000 "
GEDANGAN 20*,Container,JCG," 300000 "," 40000 "
GEDANGAN 40*,Container,JCG," 390000 "," 50000 "
GEMPOL 20*,Container,MSG," 485000 "," 43000 "
GEMPOL 40*,Container,MSG," 575000 "," 65000 "
GEMPOL-MARGO 20*,Container,CPM," 240000 ", - 
GEMPOL-PUNGGING 20*,Container,DMP," 200000 ", - 
GEMPOL-ROMO 20*,Container,RMK," 240000 ", - 
GONDANGLEGI 20*,Container,," 1,020000 ", - 
GREGES 20*,Container,," 228000 "," 50000 "
GREGES 40*,Container,," 288000 "," 69000 "
