Customer Kode, Ship From, Kode Ship From, Ship To, Kode Shipto, Harga Invoice
C-003,By Pas Krian,SBY-01 ,Panca PP-Pandaan,003PPD,67,00
C-003,By Pas Krian,SBY-01 ,Margomulyo,003MML,48,50
C-003,By Pas Krian,SBY-01 ,PT.DMC-Mojokerto,003DMM,72,00
C-003,By Pas Krian,SBY-01 ,Cpp Sepanjang,003CPS,48,50
C-003,By Pas Krian,SBY-01 ,Panca PP-Gedangan,003PPG,48,50
C-003,Romokalisari,SBY-02 ,Sinar Indochem-Krian,003SIK,49,50
C-003,Margomulyo,SBY-03 ,Tb.Langon,003TBL,27,00
C-003,Margomulyo,SBY-03 ,Sinar Unigrain-Krian,003SUK,46,00
C-003,Margomulyo,SBY-03 ,PT.MS-Gempol,003MSG,49,50
C-003,Margomulyo,SBY-03 ,PT.DMC-Mojokerto,003DMM,54,00
C-003,Romokalisari,SBY-02 ,PT.DMC-Mojokerto,003DMM,55,00
C-003,Margomulyo,SBY-03 ,Panca PP-Gedangan,003PPG,38,00
C-003,Romokalisari,SBY-02 ,Panca PP-Gedangan,003PPG,39,00
C-003,Margomulyo,SBY-03 ,Panca PP-Pandaan,003PPD,49,50
C-003,Romokalisari,SBY-02 ,Panca PP-Pandaan,003PPD,50,50
C-003,Romokalisari,SBY-02 ,Cpp Sepanjang,003CPS,44,50
C-003,Romokalisari,SBY-02 ,East Hope-Ngoro,003EHN,50,50
C-003,Margomulyo,SBY-03 ,East Hope-Ngoro,003EHN,49,50
C-003,Margomulyo,SBY-03 ,PT.MS-M.Mulyo',003MMM,14,00
C-003,Romokalisari,SBY-02 ,Cpp Dupak,003CPD,25,00
C-003,Margomulyo,SBY-03 ,Cpp Dupak,003CPD,25,00
C-003,Romokalisari,SBY-02 ,Wonokoyo,003WKY,50,50
C-003,Margomulyo,SBY-03 ,Wonokoyo,003WKY,49,50
C-003,Margomulyo,SBY-03 ,Cpp Sepanjang,003CPS,43,50
C-003,Tb.Langon,,Margomulyo,003MML,27,00
C-003,Romokalisari,SBY-02 ,Tg.Batu,003TGB,27,50
C-003,Margomulyo,SBY-03 ,Margomulyo,003MML,14,00
C-003,Romokalisari,SBY-02 ,PT.MS-M.Mulyo,003MMM,27,50
C-003,Romokalisari,SBY-02 ,PT.MS-Gempol,003MSG,50,50
C-003,Margomulyo,SBY-03 ,Tg.Batu,003TGB,14,00
C-003,East Hope-Ngoro,,Margomulyo,003MML,49,50
C-003,Margomulyo,SBY-03 ,MPJS-Jombang,003MPJ,72,00
C-003,Romokalisari,SBY-02 ,Margomulyo,003MML,27,50
C-003,Abba(Trosobo),,Margomulyo,003MML,46,00
C-003,Romokalisari,SBY-02 ,Sinar Indochem-Krian,003SIK,47,00
C-003,Romokalisari,SBY-02 ,Gold Coin-M.Mulyo,003GCM,27,50
C-003,Margomulyo,SBY-03 ,New Hope-Jemundo,003NHJ,43,50
C-003,Romokalisari,SBY-02 ,Romokalisari,003RMK,10,00
C-003,Margomulyo,SBY-03 ,Cargil-Kraton,003CGK,60,50
C-003,Romokalisari,SBY-02 ,Cargil-Kraton,003CGK,61,50
C-003,Margomulyo,SBY-03 ,Malindo,003MLD,43,50
C-003,Margomulyo,SBY-03 ,Pakindo,003PKD,43,50
C-003,Romokalisari,SBY-02 ,Sierad,003SID,48,50
C-003,Teluk Lamong,SBY-07 ,Margomulyo,003MML,25,00
C-003,Teluk Lamong,SBY-07 ,Romokalisari,003RMK,14,00
C-003,Margomulyo,SBY-03 ,Cpp Sepanjang,003CPS,43,50
C-003,Teluk Lamong,SBY-07 ,Cpi Krian,003CIK,49,00
C-003,Teluk Lamong,SBY-07 ,Cpi Sepanjang,003CIS,46,50
C-006,Romokalisari,SBY-02 ,Sreeya Sewu,006SYS,48,50
C-006,Romokalisari,SBY-02 ,New Hope-Mojosari,006NHM,56,00
C-006,Romokalisari,SBY-02 ,DMC PUNGGING,006DMP,55,00
C-006,Romokalisari,SBY-02 ,Panca PP-Gedangan,006PPG,39,00
C-006,Romokalisari,SBY-02 ,Panca PP-Pandaan,006PPD,50,50
C-006,Romokalisari,SBY-02 ,Wirifa Sakti Ngoro,006WSN,50,50
C-006,Romokalisari,SBY-02 ,Wonokoyo,006WKY,50,50
C-006,Romokalisari,SBY-02 ,Sierad,006SID,48,50
C-006,Romokalisari,SBY-02 ,Matahari Sakti-M.Mulyo,006MSM,27,50
C-006,Romokalisari,SBY-02 ,JCI Sidoarjo,006JCS,45,00
C-006,Romokalisari,SBY-02 ,MPJS Jombang,006MPJ,73,00
C-006,Romokalisari,SBY-02 ,JCI Margomulyo,006JCM,27,50
C-006,Romokalisari,SBY-02 ,STP Manyar,006STM,39,00
C-006,Tanjung Batu,SBY-29 ,PFN Mojosari,006PFM,56,00
C-009,SPC-Trosobo,,Cpi Krian,009CIK,25,00
C-009,Romokalisari,SBY-02 ,SPC-Trosobo,009SPT,52,00
C-009,Sinar Unigrain Indonesia,SBY-09 ,Sorini-Pasuruan,009SOR,128,00
C-009,Romokalisari,SBY-02 ,PT. SUI,009SUI,49,00
C-010,Jamrud,SBY-10 ,Cpi Krian,010CIK,45,00
C-010,Romokalisari,SBY-02 ,Haida Kraton,010HKR,51,00
C-010,Jamrud,SBY-10 ,DMC PUNGGING,010DMP,54,00
C-010,Pelabuhan Gresik,SBY-12 ,DMC PUNGGING,010DMP,64,00
C-010,Romokalisari,SBY-02 ,GOLDEN UNION OLI-TAMBAK SAWAH SDA,010GTS,45,00
C-010,Pelabuhan Gresik,SBY-12 ,GOLDEN UNION OLI-TAMBAK SAWAH SDA,010GTS,55,00
C-010,Romokalisari,SBY-02 ,Cpi Krian,010CIK,47,00
C-010,Romokalisari,SBY-02 ,Romokalisari,010RMK,13,00
C-010,Kalimas,SBY-13 ,Cpi Krian,010CIK,45,00
C-010,Kalimas,SBY-13 ,New Hope-Mojosari,010NHM,53,00
C-010,Romokalisari,SBY-02 ,Sinar Indochem-Krian,010SIK,47,00
C-010,Romokalisari,SBY-02 ,Wonokoyo-Gempol,010WKG,51,00
C-010,Romokalisari,SBY-02 ,DMC PUNGGING,010DMP,54,00
C-010,Jamrud,SBY-10 ,Cpi Sepanjang,010CIS,43,00
C-010,Romokalisari,SBY-02 ,Margomulyo,010MML,25,00
C-010,Romokalisari,SBY-02 ,Cpi Sepanjang,010CIS,45,00
C-010,Romokalisari,SBY-02 ,Sreeya ,010SYS,48,00
C-010,Romokalisari,SBY-02 ,Wirifa Ngoro,010WSN,51,00
C-010,Romokalisari,SBY-02 ,SMP Warugunung,010SWG,39,00
C-010,Romokalisari,SBY-02 ,New Hope-Mojosari,010NHM,54,00
C-010,Romokalisari,SBY-02 ,CJ Feed Jombang,010CFJ,68,00
C-010,Romokalisari,SBY-02 ,Santori - Tongas,010SAN,90,00
C-010,Romokalisari,SBY-02 ,H. Ilyas Gempol,010HIG,51,00
C-010,Romokalisari,SBY-02 ,Berkat Agri Gedangan,010BAG,45,00
C-010,Pelabuhan Gresik,SBY-12 ,SMP Warugunung,010SWG,49,00
C-010,Pelabuhan Gresik,SBY-12 ,Romokalisari,010RMK,26,00
C-010,Pelabuhan Gresik,SBY-12 ,Cpi Krian,010CIK,57,00
C-010,Jamrud,SBY-10 ,Romokalisari,010RMK,28,00
C-010,Jamrud,SBY-10 ,SMP Warugunung,010SWG,38,00
C-010,Jamrud,SBY-10 ,TAMBAK SAWAH SDA,010TBS,43,00
C-010,Jamrud,SBY-10 ,Berkat Agri Gedangan,010BAG,43,00
C-010,Pelabuhan Gresik,SBY-12 ,Cpi Sepanjang,010CIS,55,00
C-010,Pelabuhan Gresik,SBY-12 ,Berkat Agri Gedangan,010BAG,49,00
C-010,Romokalisari,SBY-02 ,New Hope-Jemundo,010NHJ,45,00
C-011,Romokalisari,SBY-02 ,Cpi Krian,011CIK,49,875
C-011,Casaland,SBY-15 ,Cpi Krian,011CIK,20,50
C-011,Casaland,SBY-15 ,Cpi Sepanjang,011CIS,27,50
C-011,Bogasari,SBY-16 ,Cpi Krian,011CIK,48,50
C-011,KIG-Gresik,,Cpi Krian,011CIK,64,00
C-011,KIG-Gresik,,Cpi Sepanjang,011CIS,61,00
C-011,Bogasari,SBY-16 ,Cpi Sepanjang,011CIS,45,00
C-011,Teluk Lamong,SBY-07 ,Cpi Krian,011CIK,53,875
C-011,Teluk Lamong,SBY-07 ,Cpi Sepanjang,011CIS,50,835
C-011,Cpi Sepanjang,SBY-19 ,Cpp Dupak,011CPD,47,50
C-011,Pelabuhan Perak,SBY-20 ,Cpi Krian,011CIK,49,875
C-011,Pelabuhan Perak,SBY-20 ,Cpi Sepanjang,011CIS,46,835
C-011,Pelabuhan Perak,SBY-20 ,Cpp Dupak,011CPD,33,250
C-011,Pelabuhan Perak,SBY-20 ,KIG ,011KGG,50,000
C-011,Romokalisari,SBY-02 ,Cpi Sepanjang,011CIS,46,835
C-011,Malindo Gresik,SBY-21 ,Cpi Sepanjang,011CIS,50,835
C-011,Teluk Lamong,SBY-07 ,Malindo Gresik,011MLG,53,875
C-011,Margomulyo,SBY-03 ,Cpi Krian,011CIK,49,875
C-011,Romokalisari,SBY-02 ,Cpp Dupak,011CPD,34,000
C-011,Romokalisari,SBY-02 ,MS. Margomulyo,011MMM,32,500
C-011,Romokalisari,SBY-02 ,MS. Gempol,011MSG,55,000
C-011,Romokalisari,SBY-02 ,Wirifa Rungkut,011WFR,44,000
C-011,Romokalisari,SBY-02 ,Panca Gedangan,011PPG,44,000
C-011,Romokalisari,SBY-02 ,Sinar Indochem-Krian,011SIK,49,500
C-011,Romokalisari,SBY-02 ,Cheil Jeddang - Jombang,011CJJ,69,500
C-011,Romokalisari,SBY-02 ,Cheil Jeddang - Pasuruan,011CJP,71,000
C-011,Teluk Lamong,SBY-07 ,Cpp Dupak,011CPD,37,250
C-011,Teluk Lamong,SBY-07 ,Romokalisari,011RMK,18,000
C-011,Teluk Lamong,SBY-07 ,KIG,011KGG,41,000
C-013,Teluk Lamong,SBY-07 ,Wirifa-Ngoro Mojokerto,013WNM,50,00
C-013,Teluk Lamong,SBY-07 ,New Hope-Casaland Krian,013NHC,45,00
C-013,Teluk Lamong,SBY-07 ,New Hope-Jemundo,013NHJ,42,50
C-013,Teluk Lamong,SBY-07 ,Romokalisari,013RMK,22,50
C-013,Teluk Lamong,SBY-07 ,New Hope-Mojosari,013NHM,46,00
C-013,New Hope-Mojosari,,East Hope-Ngoro,013EHN,23,00
C-013,Teluk Lamong,SBY-07 ,East Hope-Ngoro,013EHN,50,00
C-013,Jamrud,SBY-10 ,New Hope-Casaland Krian,013NHC,43,00
C-013,Teluk Lamong,SBY-07 ,Casaland - Krian,013CSK,45,00
C-013,New Hope-Mojosari,,Casaland - Krian,013CSK,22,50
C-013,Teluk Lamong,SBY-07 ,New Hope-Margomulyo,013NHM,24,00
C-013,Teluk Lamong,SBY-07 ,Cpi Krian,013CIK,43,00
C-013,Teluk Lamong,SBY-07 ,Kalianak,013KAL,27,00
C-013,Teluk Lamong,SBY-07 ,Panca Gedangan,013PPG,35,00
C-013,Teluk Lamong,SBY-07 ,Manyar Gresik,013MYG,33,00
C-013,Teluk Lamong,SBY-07 ,Cpi Sepanjang,013CIS,42,50
C-013,Teluk Lamong,SBY-07 ,Malindo,013MAL,44,00
C-013,Teluk Lamong,SBY-07 ,Wonokoyo,013WKY,48,50
C-013,Teluk Lamong,SBY-07 ,Sinar Indochem-Krian,013SIK,45,00
C-013,Teluk Lamong,SBY-07 ,Kraton Industri,013KRI,60,50
C-013,Teluk Lamong,SBY-07 ,Sukorejo Blitar,013SKR,155,00
C-014,Romokalisari,SBY-02 ,Romokalisari,014RMK,15,00
C-014,Tanjung Perak,SBY-35 ,JCI Gedangan,014JCG,67,00
C-014,Tanjung Perak,SBY-35 ,BTG Margomulyo,014BTG,53,00
C-014,Tanjung Perak,SBY-35 ,Romokalisari,014RMK,67,00
C-014,Tanjung Perak,SBY-35 ,STP Manyar,014STM,75,00
C-018,KIG-Gresik,,New Hope-Jemundo,018NHJ,62,00
C-018,KIG-Gresik,,Romokalisari,018RMK,30,00
C-018,Romokalisari,SBY-02 ,New Hope-Jemundo,018NHJ,56,00
C-018,Teluk Lamong,SBY-07 ,New Hope Kletek,018NHK,56,00
C-018,Kalimas,SBY-13 ,New Hope-Jemundo,018NHJ,50,60
C-018,Pelabuhan Perak,SBY-20 ,New Hope-Jemundo,018NHJ,50,60
C-018,Teluk Lamong,SBY-07 ,New Hope-Jemundo,018NHJ,56,00
C-018,Jamrud,SBY-10 ,New Hope-Jemundo,018NHJ,50,60
C-018,Teluk Lamong,SBY-07 ,Gd Romokalisari,018RMK,20,70
C-020,GII-Tj Tembaga,,SPC-Trosobo,020SPC,64,00
C-020,GII-Tj Tembaga,,Sinar Indochem-Krian,020SIK,64,00
C-021,Jamrud,SBY-10 ,Romokalisari,021RMK,12,50
C-021,Jamrud,SBY-10 ,Malindo-Wringin Anom,021MAL,35,00
C-021,Teluk Lamong,SBY-07 ,Wirifa Sakti Ngoro,021WSN,50,00
C-021,Jamrud,SBY-10 ,Malindo Margomulyo,021MMG,22,00
C-021,Jamrud,SBY-10 ,Sreeya Sewu,021SRY,39,50
C-021,Teluk Lamong,SBY-07 ,Sreeya Sewu SDA,021SRY,38,00
C-021,Teluk Lamong,SBY-07 ,QL Feed-Blitar,021QLB,115,00
C-021,Jamrud,SBY-10 ,Margomulyo,021MGM,22,00
C-021,Romokalisari,SBY-02 ,Miwon Gresik,021MWG,34,00
C-021,Teluk Lamong,SBY-07 ,Miwon Gresik,021MWG,33,00
C-022,Murti Jaya Abadi,SBY-23 ,Haida Kraton,022HKR,61,50
C-022,Murti Jaya Abadi,SBY-23 ,MPJS Jombang,022MPJ,72,50
C-022,Murti Jaya Abadi,SBY-23 ,Siantar Top-Sda,022STA,51,00
C-022,BMS,SBY-24 ,Murti Jaya Abadi,022MJA,52,00
C-022,Murti Jaya Abadi,SBY-23 ,New Hope-Mojosari,022NHM,58,00
C-022,Murti Jaya Abadi,SBY-23 ,STP Manyar,022STM,52,00
C-022,Murti Jaya Abadi,SBY-23 ,Sinar Indochem-Krian,022SIK,53,00
C-022,Agristar Grain,SBY-25 ,Murti Jaya Abadi,022MJA,25,00
C-022,Romokalisari,SBY-02 ,Murti Jaya Abadi,022MJA,14,00
C-022,Teluk Lamong,SBY-07 ,Murti Jaya Abadi,022MJA,18,00
C-022,Murti Jaya Abadi,SBY-23 ,Santos Jaya Abadi-SDA,022SAN,51,00
C-022,Murti Jaya Abadi,SBY-23 ,New Hope-Jemundo,022NHJ,53,00
C-022,Romokalisari,SBY-02 ,STP Manyar,022STM,52,00
C-022,Romokalisari,SBY-02 ,Sierad Wonoayu,022SRW,47,50
C-023,KIG-Gresik,,Sinar Indochem-Krian,023SIK,65,00
C-023,KIG-Gresik,,Murti Jaya Abadi,023MJA,25,00
C-023,TB. Langon,,Sinar Indochem-Krian,023SIK,55,00
C-023,Fugui Flour-Gresik,,Sinar Indochem-Krian,023SIK,65,00
C-023,Romokalisari,SBY-02 ,Sinar Indochem-Krian,023SIK,49,00
C-023,Teluk Lamong,SBY-07 ,Sinar Indochem-Krian,023SIK,50,35
C-023,Pelabuhan Perak,SBY-20 ,Sinar Indochem-Krian,023SIK,50,35
C-023,JCI Sidoarjo,SBY-27 ,Sinar Indochem-Krian,023SIK,50,35
C-024,KIG-Gresik,,Wirifa Sakti Ngoro,024WSN,65,00
C-024,KIG-Gresik,,Cpp Sepanjang,024CPS,55,00
C-024,KIG-Gresik,,Malindo Margomulyo,024MLM,32,50
C-024,KIG-Gresik,,JCI Margomulyo,024JCM,35,00
C-024,KIG-Gresik,,Gold Coin-M.Mulyo,024GCM,35,00
C-024,KIG-Gresik,,MPJS Jombang,024MPJ,80,00
C-024,KIG-Gresik,,Malindo Gresik,024MAL,55,00
C-024,KIG-Gresik,,JCI Sidoarjo,024JCS,50,00
C-024,KIG-Gresik,,JCI Gedangan,024JCG,50,00
C-024,KIG-Gresik,,Sama Berkat Ind,024SBI,35,00
C-024,KIG-Gresik,,Siantar Top-Sda,024STA,55,00
C-024,KIG-Gresik,,Romokalisari,024RMK,29,00
C-024,KIG-Gresik,,Malindo Wringin anom,024MAL,58,00
C-024,KIG-Gresik,,Sinar Indochem-Krian,024SIK,58,00
C-024,KIG-Gresik,,Cpi Semarang,024CSR,165,00
C-025,Margomulyo,SBY-03 ,Romokalisari,025RMK,27,00
C-026,Pelabuhan Gresik,SBY-12 ,Cpi Sepanjang,026CIS,57,00
C-026,Pelabuhan Gresik,SBY-12 ,PT. Seger - Sumengko,026SGR,59,00
C-026,Pelabuhan Gresik,SBY-12 ,Cpi Krian,026CIK,59,00
C-026,Jamrud,SBY-10 ,PT. Seger - Sumengko,026SGR,50,00
C-026,Jamrud,SBY-10 ,Cpi Krian,026CIK,49,00
C-026,Teluk Lamong,SBY-07 ,Wringin Anom,026WRA,52,00
C-026,Jamrud,SBY-10 ,JCI Sidoarjo,026JCS,47,00
C-026,Jamrud,SBY-10 ,Wonokoyo-Gempol,026WKY,52,00
C-026,Jamrud,SBY-10 ,Cpi Sepanjang,026CIS,46,00
C-026,Jamrud,SBY-10 ,PT. Seger-Blora,026SGB,115,00
C-026,Jamrud,SBY-10 ,Sreeya Sewu,026SRY,50,00
C-026,Romokalisari,SBY-02 ,Sreeya Sewu,026SRY,55,00
C-026,Jamrud,SBY-10 ,Wirifa Sakti Ngoro,026WSN,53,00
C-026,Jamrud,SBY-10 ,CJ Feed Jombang,026CFJ,70,00
