Kode Customer, Nama Customer, Kode Ship From, Ship From Deskripsi, Ship To Kode, Harga Invoice, Tipe Truck (20"/40")
C-012,TPS,SBY-66,BJO ROMOKALISARI,012BJR,1081000,20"
C-012,TPS,SBY-66,BJO SUKOREJO MALANG,012BSM,2300000,20"
C-012,DEPO,SBY-69,BJO ROMOKALISARI,012BJR,1081000,20"
C-012,DEPO,SBY-69,BJO SUKOREJO MALANG,012BSM,2300000,20"
C-012,TELUK LAMONG,SBY-07,BJO ROMOKALISARI,012BJR,1196000,20"
C-012,TELUK LAMONG,SBY-07,BJO SUKOREJO MALANG,012BSM,2415000,20"
C-012,TPS,SBY-66,CPI PREMIX KRIAN,012CPK,1403000,20"
C-012,TELUK LAMONG,SBY-07,CPI PREMIX KRIAN,012CPK,1518000,20"
C-012,DEPO,SBY-69,CPI PREMIX KRIAN,012CPK,1403000,20"
C-012,TPS,SBY-66,STI ROMOKALISARI,012STR,1081000,20"
C-012,TELUK LAMONG,SBY-07,STI ROMOKALISARI,012STR,1196000,20"
C-012,DEPO,SBY-69,CPI SEPANJANG,012CIS,1081000,20"
C-012,DEPO,SBY-69,CPI KRIAN,012CIK,1403000,20"
C-012,DEPO,SBY-69,CASALAND,012CSL,1403000,20"
C-012,TPS,SBY-66,CPI SEPANJANG,012CIS,1081000,20"
C-012,TPS,SBY-66,CPI KRIAN,012CIK,1403000,20"
C-012,TPS,SBY-66,CASALAND,012CSL,1403000,20"
C-012,TELUK LAMONG,SBY-07,CPI SEPANJANG,012CIS,1196000,20"
C-012,TELUK LAMONG,SBY-07,CPI KRIAN,012CIK,1518000,20"
C-012,TELUK LAMONG,SBY-07,CASALAND,012CSL,1518000,20"
C-012,DEPO,SBY-69,CPP DUPAK,012CPD,800000,20"
C-012,DEPO,SBY-69,CPP MARGOMULYO CITRA,012CMC,880000,20"
C-012,DEPO,SBY-69,CPP MARGOMULYO B10,012CMB,880000,20"
C-012,DEPO,SBY-69,CPP SEPANJANG,012CPS,1081000,20"
C-012,DEPO,SBY-69,ROMOKALISARI,012RMK,1041000,20"
C-012,DEPO,SBY-69,ABBA SEPANJANG,012ABS,1081000,20"
C-012,TPS,SBY-66,CPP DUPAK,012CPD,800000,20"
C-012,TPS,SBY-66,CPP MARGOMULYO CITRA,012CMC,880000,20"
C-012,TPS,SBY-66,CPP MARGOMULYO B10,012CMB,880000,20"
C-012,TPS,SBY-66,CPP SEPANJANG,012CPS,1081000,20"
C-012,TPS,SBY-66,ROMOKALISARI,012RMK,1041000,20"
C-012,TPS,SBY-66,ABBA SEPANJANG,012ABS,1081000,20"
C-012,TELUK LAMONG,SBY-07,CPP DUPAK,012CPD,915000,20"
C-012,TELUK LAMONG,SBY-07,CPP MARGOMULYO CITRA,012CMC,995000,20"
C-012,TELUK LAMONG,SBY-07,CPP MARGOMULYO B10,012CMB,995000,20"
C-012,TELUK LAMONG,SBY-07,CPP SEPANJANG,012CPS,1196000,20"
C-012,TELUK LAMONG,SBY-07,ROMOKALISARI,012RMK,1156000,20"
C-012,TELUK LAMONG,SBY-07,ABBA SEPANJANG,012ABS,1196000,20"
C-012,TPS,SBY-66,SRP JOMBANG,012SRJ,2145000,20"
C-012,TPS,SBY-66,SRP ROMOKALISARI,012SRR,1081000,20"
C-012,TPS,SBY-66,SRP MOJOSONGO SOLO,012SMS,4945000,20"
C-012,TELUK LAMONG,SBY-07,SRP JOMBANG,012SRJ,2260000,20"
C-012,TELUK LAMONG,SBY-07,SRP ROMOKALISARI,012SRR,1196000,20"
C-012,TELUK LAMONG,SBY-07,SRP MOJOSONGO SOLO,012SMS,5060000,20"
C-012,TPS,SBY-66,LAMHONG MARGOMULYO,012TLM,870000,20"
C-012,TPS,SBY-66,LAMHONG PUNGGING,012TLP,1378000,20"
C-012,TELUK LAMONG,SBY-07,LAMHONG MARGOMULYO,012TLM,979000,20"
C-012,TELUK LAMONG,SBY-07,LAMHONG PUNGGING,012TLP,1493000,20"
C-012,DEPO,SBY-69,LMA SAMBIKEREP MOJOSARI,012LSM,1520000,20"
C-012,DEPO,SBY-69,LMA WIRIFA NGORO,012LWN,1520000,20"
C-012,DEPO,SBY-69,LMA MS GEMPOL,012LMG,1520000,20"
C-012,DEPO,SBY-69,LMA SREEYA,012LMS,1520000,20"
C-012,DEPO,SBY-69,LMA DMC PUNGGING,012LDP,1520000,20"
C-012,DEPO,SBY-69,LMA CARGILL PASURUAN,012LCP,1520000,20"
C-012,DEPO,SBY-69,LMA KARKA PORONG,012LKP,1520000,20"
C-012,DEPO,SBY-69,LMA SELEB PURWOSARI,012LSP,1950000,20"
C-012,DEPO,SBY-69,LMA YELLOW FEED KEJAYAN,012LYF,1950000,20"
C-012,DEPO,SBY-69,LMA GOLD COIN M.MULYO,012LGM,800000,20"
C-012,DEPO,SBY-69,LMA BIMA FEED TUBAN,012LBT,2100000,20"
C-012,DEPO,SBY-69,LMA BAR GEDANGAN,012LBG,905000,20"
C-012,DEPO,SBY-69,LMA ALI IMRON BLITAR,012LAB,3500000,20"
C-012,DEPO,SBY-69,LMA ROMOKALISARI,012LRK,905000,20"
